STATE_NAME,NAME,KEY,ID,rate_brcamort9397,MDratio,hosp,hosponc,scrnmamm,pcturban,urbrural,pcincome,pctpoor,pctlt9ed,pcthsed,pctcoled,unemploy,homevalu,rent,pop96,mammog2ysm,SmokecurF,SmokevrF,Obese,Noins
California,Humboldt,692,171,26.9,176.79,4.07,0.81,5.75,62.7,5,18917,17.6,6.1,80.5,20,8.3,88500,409,123023,0.62,0.14,0.35,0.31,0.21
Nebraska,Butler,693,1635,32.1,58.2,11.64,11.6,11.67,29.3,6,18494,11.5,16.4,72.5,8,2.6,29800,279,8623,0.46,0.22,0.45,0.33,0.08
Nebraska,Saunders,694,1701,19.7,15.78,5.26,0,5.35,20.1,6,18405,9.6,8.9,79.1,12,2.9,43500,299,19135,0.26,0.22,0.43,0.32,0.12
Ohio,Erie,695,2036,28.2,131.97,2.54,2.53,1.28,64.8,4,22929,9,7.5,76.2,13.8,4.9,64400,361,78913,0.48,0.21,0.42,0.42,0.12
Indiana,Kosciusko,696,708,30.9,66.46,1.44,1.43,1.47,27.1,6,21893,6.6,7.7,77.5,14.4,3.3,60100,378,69932,0.52,0.21,0.43,0.36,0.11
Indiana,Starke,697,740,24.6,26.53,4.42,0,4.48,16.3,6,14427,13.4,17.1,59.9,6,6.3,40700,329,23399,0.53,0.23,0.43,0.36,0.11
Pennsylvania,Clarion,698,2231,26.3,23.62,4.72,2.37,2.37,15.5,7,17204,18.1,12.1,73.1,11.7,8.2,45900,298,42205,0.37,0.24,0.44,0.38,0.1
Nebraska,Cheyenne,699,1640,15.8,83.57,10.45,10.32,10.44,62.8,7,20433,10.2,9,80.3,15.1,2.2,35200,277,9690,0.31,0.2,0.37,0.34,0.09
Ohio,Defiance,700,2034,25.3,114.67,4.99,2.5,5.04,51.9,4,21088,8.8,8.2,76.8,12.5,4.5,53400,364,40059,0.42,0.21,0.42,0.42,0.12
Utah,Weber,701,2777,20.4,152.09,1.14,1.14,1.74,93,0,19392,10.1,4.7,82.5,18,4.2,65500,356,175034,0.38,0.22,0.49,0.31,0.12
Iowa,Louisa,702,815,28.6,8.48,0,0,0,0,8,17051,11.7,9,76.3,9.2,4,39100,304,12017,0.55,0.22,0.46,0.35,0.1
Pennsylvania,Luzerne,703,2255,26.9,191.07,3.37,1.56,3.66,72.9,2,20676,11.2,11.3,72,13.1,8.4,55500,319,321309,0.55,0.21,0.43,0.38,0.1
Nebraska,Polk,704,1695,30.1,35.34,17.67,17.92,0,0,9,19215,8.3,11.7,81,12.4,2,30500,247,5581,,0.11,0.29,0.48,0
Nebraska,Douglas,705,1651,23.5,398.94,2.76,1.6,5.11,95.7,2,26371,10.8,5.1,84.5,24.9,2.8,59300,393,438835,0.31,0.22,0.5,0.4,0.11
Nebraska,Sherman,706,1705,32.5,27.9,0,0,0,0,9,12180,19.3,18.2,72.2,11.4,3,16800,231,3574,0.48,0.2,0.46,0.32,0.16
Nebraska,Howard,707,1670,39.5,31.55,15.78,0,15.96,0,9,15958,12.3,16.1,75.2,8.6,2.4,30400,236,6444,0.31,0.2,0.39,0.32,0.08
Nebraska,Lincoln,708,1679,18.8,137.44,2.99,2.97,6,69.5,5,18922,12.1,7.2,81.4,14.2,4.2,41900,288,33619,0.51,0.19,0.4,0.38,0.09
Nebraska,Merrick,709,1684,16.7,12.26,12.26,0,12.31,35.7,7,17965,11.3,10.9,77,11.7,1.8,33700,266,8149,0.46,0.21,0.43,0.35,0.12
Massachusetts,Nantucket,710,1195,52.9,139.8,13.98,13.76,14.72,52,7,37636,5.7,2.2,89.4,32.9,2.7,294300,926,7267,0.54,0.2,0.48,0.3,0.1
Nebraska,Keith,711,1674,10.2,69.59,11.6,0,11.79,59.4,7,16609,10,9.1,81.5,13.1,2.9,41600,285,8643,0.33,0.15,0.36,0.36,0.08
Nebraska,Kimball,712,1676,23.7,24.14,24.14,0,0,62.7,6,19591,11.5,10.9,73.8,12.7,2.5,34600,289,4056,0.4,0.15,0.35,0.33,0.08
Pennsylvania,Jefferson,713,2248,29,77.22,4.29,0,4.29,29.9,7,18617,13.6,12,72.6,8.9,7.5,42500,285,46624,0.4,0.2,0.43,0.38,0.1
Utah,Morgan,714,2763,27.8,136.53,0,0,0,0,8,15954,8.6,1.8,90.1,19,4.7,78500,355,6660,0.28,0.17,0.35,0.31,0.15
California,Trinity,715,212,30,81.91,7.45,0,7.42,45.5,6,15877,18.5,6.2,74.2,12.9,14.5,82200,367,13418,0.6,0.17,0.38,0.31,0.25
"New York",Westchester,716,1858,26.2,538.77,2.36,1.01,1.46,94.1,0,40696,6.8,7.9,81,35.3,4.5,282200,600,893412,0.36,0.26,0.5,0.31,0.08
"New Jersey",Sussex,717,1762,29.4,96.29,0.71,0.71,1.45,40.7,1,26234,3.4,5.3,85.1,24.9,5.8,156000,697,141308,0.56,0.18,0.41,0.32,0.12
Ohio,Summit,718,2091,24.2,241.83,1.32,0.57,2.08,94.3,2,23996,12.1,6.2,78.3,19.7,4.6,61000,394,530571,0.54,0.24,0.49,0.33,0.08
Ohio,Portage,719,2081,25.8,75.32,0.67,0.67,0.67,55.8,2,19922,11.9,5.4,79.3,17.6,4.2,68800,407,149571,0.47,0.23,0.46,0.43,0.11
Illinois,Mercer,720,629,12.5,40.13,5.73,0,5.73,21.3,6,16977,10.1,8.2,77.4,11.3,6.3,34500,304,17605,0.46,0.25,0.45,0.39,0.08
"New York",Rockland,721,1842,28.6,314.92,2.17,0.36,1.09,99.3,0,30698,6.4,6.4,83.3,33,4.9,217100,708,278136,0.58,0.28,0.5,0.34,0.12
Illinois,Putnam,722,641,46.9,17.49,0,0,0,0,9,23493,7.5,9.8,75.8,9.8,6.6,48900,310,5715,0.59,0.25,0.45,0.39,0.08
Pennsylvania,Columbia,723,2234,21.5,108.54,3.1,3.12,4.7,37.1,2,18436,10.6,10.2,73.1,12.5,7.5,55100,337,64079,0.53,0.25,0.46,0.33,0.09
Illinois,Kankakee,724,609,28.7,137.19,1.96,1.96,1.97,68.9,3,19901,13.3,11.5,73.1,11.9,6.4,54300,376,101949,0.28,0.2,0.42,0.34,0.08
